Date, Close/Last, Volume, Open, High, Low
12/09/2020, $277.92, 25189710, $283.66, $287.63, $271.75
12/08/2020, $283.4, 10747650, $286.01, $286.4272, $281.55
12/07/2020, $285.58, 13007670, $279.19, $288.49, $278.2
12/04/2020, $279.7, 10880300, $280.3, $283.46, $279.3
12/03/2020, $281.85, 12921690, $286.25, $286.65, $281.07
12/02/2020, $287.52, 17361620, $285.36, $291.78, $280.825
12/01/2020, $286.55, 20777910, $279.16, $289.3, $278.96
11/30/2020, $276.97, 16693340, $276.03, $277.7, $271.01
11/27/2020, $277.81, 7808426, $277.39, $279.13, $274.82
11/25/2020, $275.59, 12467010, $278.14, $280.18, $272.65
11/24/2020, $276.92, 16930420, $268.49, $277.8199, $267.87
11/23/2020, $268.43, 20990790, $270.89, $270.9471, $264.53
11/20/2020, $269.7, 18122410, $272.56, $273, $269.41
11/19/2020, $272.94, 12963660, $271.025, $273.47, $269.19
11/18/2020, $271.97, 12152950, $274.52, $277.3889, $271.84
11/17/2020, $275, 15040300, $277.68, $277.68, $273.29
11/16/2020, $278.96, 12970350, $275.05, $279.41, $274.63
11/13/2020, $276.95, 10400100, $277.72, $277.76, $273.1
11/12/2020, $275.08, 12914210, $277.18, $279.75, $274.43
11/11/2020, $276.48, 14956950, $273.47, $278.4, $272.48
11/10/2020, $272.43, 29067690, $273.1, $274, $264
