Date, Close/Last, Volume, Open, High, Low
12/09/2020, $156.02, 7947152, $158.6, $161.07, $155.55
12/08/2020, $158.8, 6088312, $157.46, $159.29, $155.874
12/07/2020, $158.02, 7009334, $158.55, $158.97, $156.71
12/04/2020, $157.62, 12759950, $150.3, $158.09, $150
12/03/2020, $149.91, 6355269, $151.04, $152.7739, $149.64
12/02/2020, $149.98, 7800326, $150.51, $151.49, $149.62
12/01/2020, $151.26, 11910500, $148.79, $152.39, $147.7943
11/30/2020, $147.17, 8712502, $144.63, $147.29, $144.05
11/27/2020, $143.83, 3878048, $145.49, $146.43, $143.7
11/25/2020, $144.08, 6398910, $145.95, $147.49, $144.04
11/24/2020, $145.93, 10807320, $143.39, $146.33, $141.11
11/23/2020, $143.82, 11654920, $142.35, $147, $141.8801
11/20/2020, $146.03, 5555858, $148.28, $149.1, $145.94
11/19/2020, $147.53, 7743707, $146.561, $149.3, $145.46
11/18/2020, $147.05, 12124510, $149.24, $153.33, $146.91
11/17/2020, $148.74, 7438646, $149.02, $149.85, $147.1836
11/16/2020, $149.07, 7598487, $145.2, $149.25, $144.55
11/13/2020, $144.26, 5902150, $145.538, $146.25, $143.23
11/12/2020, $143.91, 8585640, $147.57, $148.51, $143.07
11/11/2020, $147.69, 10222700, $144.5, $148.09, $144
11/10/2020, $140.11, 12019880, $140.148, $143.17, $138.53
11/09/2020, $142.61, 10666300, $149.41, $149.41, $142.44
11/06/2020, $145.01, 7278458, $146.01, $146.232, $143.96
11/05/2020, $145.41, 27910880, $145.819, $148.8, $141.83
11/04/2020, $128.97, 12608900, $129.325, $129.57, $126.07
11/03/2020, $125.45, 5832837, $125.44, $126.92, $124.69
11/02/2020, $123.97, 5860276, $124.5, $126.17, $122.41
10/30/2020, $123.36, 7814462, $123.68, $125.245, $121.6
10/29/2020, $126.44, 7053259, $122.06, $127.69, $121.89
10/28/2020, $121.58, 8234821, $123.5, $123.82, $121.05
10/27/2020, $125.91, 5825518, $126.51, $126.96, $125.19
10/26/2020, $126.2, 6065923, $127.53, $128.67, $124.4
10/23/2020, $128.88, 3943056, $128.59, $129.1, $127.1
10/22/2020, $128.38, 3897002, $129.51, $129.59, $126.86
10/21/2020, $128.55, 4343992, $128.04, $130.42, $126.37
10/20/2020, $128.3, 4413343, $129.18, $129.33, $127.51
10/19/2020, $128.42, 5765840, $130.127, $131.96, $127.7
10/16/2020, $129.03, 6626992, $129.7, $130.19, $127.735
10/15/2020, $128.58, 7377948, $127.3, $129.135, $126.65
10/14/2020, $129.88, 13183610, $129.08, $132.42, $128.93
10/13/2020, $127.46, 7605706, $127.47, $128.18, $125.4
10/12/2020, $126.69, 7893835, $127.6996, $127.6996, $124.9523
10/09/2020, $124.87, 11073410, $123.93, $125.89, $122.79
10/08/2020, $122.34, 4757536, $124, $124.43, $121.84
10/07/2020, $123.03, 7410347, $121.235, $123.36, $120.65
10/06/2020, $119.54, 7636963, $120.45, $122.52, $119.1
10/05/2020, $120.52, 5835936, $116.9, $120.65, $116.73
10/02/2020, $115.47, 5834337, $116.78, $118.66, $115.43
10/01/2020, $119.52, 5316766, $119.93, $120.205, $117.7
09/30/2020, $117.68, 5829731, $117.5, $119.255, $116.9238
09/29/2020, $117.38, 5687851, $118.14, $119.25, $117.2
09/28/2020, $118.47, 9043578, $115.96, $118.7391, $114.92
09/25/2020, $114.5, 11717990, $113.55, $115.75, $111.8
09/24/2020, $112.19, 6848958, $109.39, $113.29, $109.24
09/23/2020, $110.57, 6553322, $113.64, $113.93, $110.07
09/22/2020, $113.82, 6911176, $112.61, $114.25, $110.415
09/21/2020, $111.92, 8197611, $109.16, $112.14, $108.3
09/18/2020, $110.69, 15443200, $115.04, $115.43, $109.8
09/17/2020, $114.88, 7418146, $111.92, $115.6999, $111
09/16/2020, $114.56, 6342106, $118, $118, $114.54
